src,dst,type
Event:R:275,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:275,PERFORMS
Event:B:275,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:276,PERFORMS
Event:R:276,ATTACK:UNK,USES_TECHNIQUE
Event:R:276,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:276,PERFORMS
Event:B:276,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:277,PERFORMS
Event:R:277,ATTACK:UNK,USES_TECHNIQUE
Event:R:277,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:277,PERFORMS
Event:B:277,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:278,PERFORMS
Event:R:278,ATTACK:UNK,USES_TECHNIQUE
Event:R:278,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:278,PERFORMS
Event:B:278,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:279,PERFORMS
Event:R:279,ATTACK:UNK,USES_TECHNIQUE
Event:R:279,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:279,PERFORMS
Event:B:279,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:280,PERFORMS
Event:R:280,ATTACK:UNK,USES_TECHNIQUE
Event:R:280,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:280,PERFORMS
Event:B:280,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:281,PERFORMS
Event:R:281,ATTACK:UNK,USES_TECHNIQUE
Event:R:281,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:281,PERFORMS
Event:B:281,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:282,PERFORMS
Event:R:282,ATTACK:UNK,USES_TECHNIQUE
Event:R:282,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:282,PERFORMS
Event:B:282,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:283,PERFORMS
Event:R:283,ATTACK:UNK,USES_TECHNIQUE
Event:R:283,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:283,PERFORMS
Event:B:283,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:284,PERFORMS
Event:R:284,ATTACK:UNK,USES_TECHNIQUE
Event:R:284,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:284,PERFORMS
Event:B:284,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:285,PERFORMS
Event:R:285,ATTACK:UNK,USES_TECHNIQUE
Event:R:285,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:285,PERFORMS
Event:B:285,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:286,PERFORMS
Event:R:286,ATTACK:UNK,USES_TECHNIQUE
Event:R:286,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:286,PERFORMS
Event:B:286,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:287,PERFORMS
Event:R:287,ATTACK:UNK,USES_TECHNIQUE
Event:R:287,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:287,PERFORMS
Event:B:287,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:288,PERFORMS
Event:R:288,ATTACK:UNK,USES_TECHNIQUE
Event:R:288,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:288,PERFORMS
Event:B:288,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:289,PERFORMS
Event:R:289,ATTACK:UNK,USES_TECHNIQUE
Event:R:289,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:289,PERFORMS
Event:B:289,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:290,PERFORMS
Event:R:290,ATTACK:UNK,USES_TECHNIQUE
Event:R:290,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:290,PERFORMS
Event:B:290,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:291,PERFORMS
Event:R:291,ATTACK:UNK,USES_TECHNIQUE
Event:R:291,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:291,PERFORMS
Event:B:291,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:292,PERFORMS
Event:R:292,ATTACK:UNK,USES_TECHNIQUE
Event:R:292,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:292,PERFORMS
Event:B:292,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:293,PERFORMS
Event:R:293,ATTACK:UNK,USES_TECHNIQUE
Event:R:293,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:293,PERFORMS
Event:B:293,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:294,PERFORMS
Event:R:294,ATTACK:UNK,USES_TECHNIQUE
Event:R:294,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:294,PERFORMS
Event:B:294,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:295,PERFORMS
Event:R:295,ATTACK:UNK,USES_TECHNIQUE
Event:R:295,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:295,PERFORMS
Event:B:295,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:296,PERFORMS
Event:R:296,ATTACK:UNK,USES_TECHNIQUE
Event:R:296,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:296,PERFORMS
Event:B:296,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:297,PERFORMS
Event:R:297,ATTACK:UNK,USES_TECHNIQUE
Event:R:297,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:297,PERFORMS
Event:B:297,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:298,PERFORMS
Event:R:298,ATTACK:UNK,USES_TECHNIQUE
Event:R:298,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:298,PERFORMS
Event:B:298,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:299,PERFORMS
Event:R:299,ATTACK:UNK,USES_TECHNIQUE
Event:R:299,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:299,PERFORMS
Event:B:299,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:0,PERFORMS
Event:R:0,ATTACK:T1018,USES_TECHNIQUE
Event:R:0,Subnet:10.0.43.96/28,TARGETS
Agent:Blue,Event:B:0,PERFORMS
Event:B:0,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:1,PERFORMS
Event:R:1,ATTACK:T1046,USES_TECHNIQUE
Event:R:1,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:1,PERFORMS
Event:B:1,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:2,PERFORMS
Event:R:2,ATTACK:T1046,USES_TECHNIQUE
Event:R:2,Host:10.0.43.107,TARGETS
Agent:Blue,Event:B:2,PERFORMS
Event:B:2,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:3,PERFORMS
Event:R:3,ATTACK:T1046,USES_TECHNIQUE
Event:R:3,Host:10.0.43.101,TARGETS
Agent:Blue,Event:B:3,PERFORMS
Event:B:3,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:4,PERFORMS
Event:R:4,ATTACK:T1046,USES_TECHNIQUE
Event:R:4,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:4,PERFORMS
Event:B:4,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:5,PERFORMS
Event:R:5,ATTACK:T1046,USES_TECHNIQUE
Event:R:5,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:5,PERFORMS
Event:B:5,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:6,PERFORMS
Event:R:6,ATTACK:T1068,USES_TECHNIQUE
Event:R:6,User:User0,TARGETS
Agent:Blue,Event:B:6,PERFORMS
Event:B:6,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:7,PERFORMS
Event:R:7,ATTACK:T1210,USES_TECHNIQUE
Event:R:7,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:7,PERFORMS
Event:B:7,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:8,PERFORMS
Event:R:8,ATTACK:T1068,USES_TECHNIQUE
Event:R:8,User:User1,TARGETS
Agent:Blue,Event:B:8,PERFORMS
Event:B:8,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:8,User:User1,TARGETS
Agent:Red,Event:R:9,PERFORMS
Event:R:9,ATTACK:T1210,USES_TECHNIQUE
Event:R:9,Host:10.0.43.107,TARGETS
Agent:Blue,Event:B:9,PERFORMS
Event:B:9,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:10,PERFORMS
Event:R:10,ATTACK:T1210,USES_TECHNIQUE
Event:R:10,Host:10.0.43.101,TARGETS
Agent:Blue,Event:B:10,PERFORMS
Event:B:10,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:11,PERFORMS
Event:R:11,ATTACK:T1068,USES_TECHNIQUE
Event:R:11,User:User2,TARGETS
Agent:Blue,Event:B:11,PERFORMS
Event:B:11,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:12,PERFORMS
Event:R:12,ATTACK:T1046,USES_TECHNIQUE
Event:R:12,Host:10.0.235.10,TARGETS
Agent:Blue,Event:B:12,PERFORMS
Event:B:12,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:13,PERFORMS
Event:R:13,ATTACK:T1210,USES_TECHNIQUE
Event:R:13,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:13,PERFORMS
Event:B:13,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:14,PERFORMS
Event:R:14,ATTACK:T1068,USES_TECHNIQUE
Event:R:14,User:User3,TARGETS
Agent:Blue,Event:B:14,PERFORMS
Event:B:14,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:14,User:User3,TARGETS
Agent:Red,Event:R:15,PERFORMS
Event:R:15,ATTACK:T1210,USES_TECHNIQUE
Event:R:15,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:15,PERFORMS
Event:B:15,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:16,PERFORMS
Event:R:16,ATTACK:T1068,USES_TECHNIQUE
Event:R:16,User:User3,TARGETS
Agent:Blue,Event:B:16,PERFORMS
Event:B:16,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:16,User:User3,TARGETS
Event:R:14,Event:B:16,TRIGGERS
Agent:Red,Event:R:17,PERFORMS
Event:R:17,ATTACK:T1210,USES_TECHNIQUE
Event:R:17,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:17,PERFORMS
Event:B:17,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:18,PERFORMS
Event:R:18,ATTACK:T1068,USES_TECHNIQUE
Event:R:18,User:User4,TARGETS
Agent:Blue,Event:B:18,PERFORMS
Event:B:18,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:18,User:User4,TARGETS
Agent:Red,Event:R:19,PERFORMS
Event:R:19,ATTACK:T1210,USES_TECHNIQUE
Event:R:19,Host:10.0.235.10,TARGETS
Agent:Blue,Event:B:19,PERFORMS
Event:B:19,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:20,PERFORMS
Event:R:20,ATTACK:T1068,USES_TECHNIQUE
Event:R:20,Enterprise:Enterprise1,TARGETS
Agent:Blue,Event:B:20,PERFORMS
Event:B:20,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:20,Enterprise:Enterprise1,TARGETS
Agent:Red,Event:R:21,PERFORMS
Event:R:21,ATTACK:T1210,USES_TECHNIQUE
Event:R:21,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:21,PERFORMS
Event:B:21,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:22,PERFORMS
Event:R:22,ATTACK:T1068,USES_TECHNIQUE
Event:R:22,User:User3,TARGETS
Agent:Blue,Event:B:22,PERFORMS
Event:B:22,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:22,User:User3,TARGETS
Event:R:16,Event:B:22,TRIGGERS
Agent:Red,Event:R:23,PERFORMS
Event:R:23,ATTACK:T1210,USES_TECHNIQUE
Event:R:23,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:23,PERFORMS
Event:B:23,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:24,PERFORMS
Event:R:24,ATTACK:T1068,USES_TECHNIQUE
Event:R:24,User:User4,TARGETS
Agent:Blue,Event:B:24,PERFORMS
Event:B:24,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:24,User:User4,TARGETS
Event:R:18,Event:B:24,TRIGGERS
Agent:Red,Event:R:25,PERFORMS
Event:R:25,ATTACK:T1210,USES_TECHNIQUE
Event:R:25,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:25,PERFORMS
Event:B:25,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:26,PERFORMS
Event:R:26,ATTACK:T1068,USES_TECHNIQUE
Event:R:26,User:User4,TARGETS
Agent:Blue,Event:B:26,PERFORMS
Event:B:26,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:26,User:User4,TARGETS
Event:R:24,Event:B:26,TRIGGERS
Agent:Red,Event:R:27,PERFORMS
Event:R:27,ATTACK:T1210,USES_TECHNIQUE
Event:R:27,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:27,PERFORMS
Event:B:27,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:28,PERFORMS
Event:R:28,ATTACK:T1068,USES_TECHNIQUE
Event:R:28,User:User1,TARGETS
Agent:Blue,Event:B:28,PERFORMS
Event:B:28,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:28,User:User1,TARGETS
Agent:Red,Event:R:29,PERFORMS
Event:R:29,ATTACK:T1210,USES_TECHNIQUE
Event:R:29,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:29,PERFORMS
Event:B:29,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:30,PERFORMS
Event:R:30,ATTACK:T1068,USES_TECHNIQUE
Event:R:30,User:User4,TARGETS
Agent:Blue,Event:B:30,PERFORMS
Event:B:30,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:30,User:User4,TARGETS
Event:R:26,Event:B:30,TRIGGERS
Agent:Red,Event:R:31,PERFORMS
Event:R:31,ATTACK:T1210,USES_TECHNIQUE
Event:R:31,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:31,PERFORMS
Event:B:31,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:32,PERFORMS
Event:R:32,ATTACK:T1068,USES_TECHNIQUE
Event:R:32,User:User3,TARGETS
Agent:Blue,Event:B:32,PERFORMS
Event:B:32,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:32,User:User3,TARGETS
Event:R:22,Event:B:32,TRIGGERS
Agent:Red,Event:R:33,PERFORMS
Event:R:33,ATTACK:T1210,USES_TECHNIQUE
Event:R:33,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:33,PERFORMS
Event:B:33,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:34,PERFORMS
Event:R:34,ATTACK:T1068,USES_TECHNIQUE
Event:R:34,User:User4,TARGETS
Agent:Blue,Event:B:34,PERFORMS
Event:B:34,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:34,User:User4,TARGETS
Event:R:30,Event:B:34,TRIGGERS
Agent:Red,Event:R:35,PERFORMS
Event:R:35,ATTACK:T1210,USES_TECHNIQUE
Event:R:35,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:35,PERFORMS
Event:B:35,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:36,PERFORMS
Event:R:36,ATTACK:T1068,USES_TECHNIQUE
Event:R:36,User:User1,TARGETS
Agent:Blue,Event:B:36,PERFORMS
Event:B:36,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:36,User:User1,TARGETS
Event:R:28,Event:B:36,TRIGGERS
Agent:Red,Event:R:37,PERFORMS
Event:R:37,ATTACK:T1210,USES_TECHNIQUE
Event:R:37,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:37,PERFORMS
Event:B:37,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:38,PERFORMS
Event:R:38,ATTACK:T1068,USES_TECHNIQUE
Event:R:38,User:User3,TARGETS
Agent:Blue,Event:B:38,PERFORMS
Event:B:38,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:38,User:User3,TARGETS
Event:R:32,Event:B:38,TRIGGERS
Agent:Red,Event:R:39,PERFORMS
Event:R:39,ATTACK:T1210,USES_TECHNIQUE
Event:R:39,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:39,PERFORMS
Event:B:39,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:40,PERFORMS
Event:R:40,ATTACK:T1068,USES_TECHNIQUE
Event:R:40,User:User1,TARGETS
Agent:Blue,Event:B:40,PERFORMS
Event:B:40,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:40,User:User1,TARGETS
Event:R:36,Event:B:40,TRIGGERS
Agent:Red,Event:R:41,PERFORMS
Event:R:41,ATTACK:T1210,USES_TECHNIQUE
Event:R:41,Host:10.0.235.10,TARGETS
Agent:Blue,Event:B:41,PERFORMS
Event:B:41,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:42,PERFORMS
Event:R:42,ATTACK:T1068,USES_TECHNIQUE
Event:R:42,Enterprise:Enterprise1,TARGETS
Agent:Blue,Event:B:42,PERFORMS
Event:B:42,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:42,Enterprise:Enterprise1,TARGETS
Agent:Red,Event:R:43,PERFORMS
Event:R:43,ATTACK:T1210,USES_TECHNIQUE
Event:R:43,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:43,PERFORMS
Event:B:43,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:44,PERFORMS
Event:R:44,ATTACK:T1068,USES_TECHNIQUE
Event:R:44,User:User1,TARGETS
Agent:Blue,Event:B:44,PERFORMS
Event:B:44,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:44,User:User1,TARGETS
Event:R:40,Event:B:44,TRIGGERS
Agent:Red,Event:R:45,PERFORMS
Event:R:45,ATTACK:T1210,USES_TECHNIQUE
Event:R:45,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:45,PERFORMS
Event:B:45,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:46,PERFORMS
Event:R:46,ATTACK:T1068,USES_TECHNIQUE
Event:R:46,User:User3,TARGETS
Agent:Blue,Event:B:46,PERFORMS
Event:B:46,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:47,PERFORMS
Event:R:47,ATTACK:T1068,USES_TECHNIQUE
Event:R:47,User:User2,TARGETS
Agent:Blue,Event:B:47,PERFORMS
Event:B:47,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:48,PERFORMS
Event:R:48,ATTACK:T1068,USES_TECHNIQUE
Event:R:48,User:User0,TARGETS
Agent:Blue,Event:B:48,PERFORMS
Event:B:48,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:49,PERFORMS
Event:R:49,ATTACK:T1210,USES_TECHNIQUE
Event:R:49,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:49,PERFORMS
Event:B:49,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:50,PERFORMS
Event:R:50,ATTACK:T1068,USES_TECHNIQUE
Event:R:50,User:User3,TARGETS
Agent:Blue,Event:B:50,PERFORMS
Event:B:50,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:50,User:User3,TARGETS
Event:R:46,Event:B:50,TRIGGERS
Agent:Red,Event:R:51,PERFORMS
Event:R:51,ATTACK:T1210,USES_TECHNIQUE
Event:R:51,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:51,PERFORMS
Event:B:51,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:52,PERFORMS
Event:R:52,ATTACK:T1068,USES_TECHNIQUE
Event:R:52,User:User1,TARGETS
Agent:Blue,Event:B:52,PERFORMS
Event:B:52,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:52,User:User1,TARGETS
Event:R:44,Event:B:52,TRIGGERS
Agent:Red,Event:R:53,PERFORMS
Event:R:53,ATTACK:T1210,USES_TECHNIQUE
Event:R:53,Host:10.0.235.10,TARGETS
Agent:Blue,Event:B:53,PERFORMS
Event:B:53,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:54,PERFORMS
Event:R:54,ATTACK:T1068,USES_TECHNIQUE
Event:R:54,Enterprise:Enterprise1,TARGETS
Agent:Blue,Event:B:54,PERFORMS
Event:B:54,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:54,Enterprise:Enterprise1,TARGETS
Event:R:42,Event:B:54,TRIGGERS
Agent:Red,Event:R:55,PERFORMS
Event:R:55,ATTACK:T1210,USES_TECHNIQUE
Event:R:55,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:55,PERFORMS
Event:B:55,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:56,PERFORMS
Event:R:56,ATTACK:T1068,USES_TECHNIQUE
Event:R:56,User:User1,TARGETS
Agent:Blue,Event:B:56,PERFORMS
Event:B:56,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:56,User:User1,TARGETS
Event:R:52,Event:B:56,TRIGGERS
Agent:Red,Event:R:57,PERFORMS
Event:R:57,ATTACK:T1210,USES_TECHNIQUE
Event:R:57,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:57,PERFORMS
Event:B:57,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:58,PERFORMS
Event:R:58,ATTACK:T1068,USES_TECHNIQUE
Event:R:58,User:User4,TARGETS
Agent:Blue,Event:B:58,PERFORMS
Event:B:58,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:58,User:User4,TARGETS
Agent:Red,Event:R:59,PERFORMS
Event:R:59,ATTACK:T1210,USES_TECHNIQUE
Event:R:59,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:59,PERFORMS
Event:B:59,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:60,PERFORMS
Event:R:60,ATTACK:T1068,USES_TECHNIQUE
Event:R:60,User:User4,TARGETS
Agent:Blue,Event:B:60,PERFORMS
Event:B:60,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:60,User:User4,TARGETS
Event:R:58,Event:B:60,TRIGGERS
Agent:Red,Event:R:61,PERFORMS
Event:R:61,ATTACK:T1210,USES_TECHNIQUE
Event:R:61,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:61,PERFORMS
Event:B:61,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:62,PERFORMS
Event:R:62,ATTACK:T1068,USES_TECHNIQUE
Event:R:62,User:User3,TARGETS
Agent:Blue,Event:B:62,PERFORMS
Event:B:62,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:62,User:User3,TARGETS
Event:R:50,Event:B:62,TRIGGERS
Agent:Red,Event:R:63,PERFORMS
Event:R:63,ATTACK:T1210,USES_TECHNIQUE
Event:R:63,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:63,PERFORMS
Event:B:63,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:64,PERFORMS
Event:R:64,ATTACK:T1068,USES_TECHNIQUE
Event:R:64,User:User1,TARGETS
Agent:Blue,Event:B:64,PERFORMS
Event:B:64,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:64,User:User1,TARGETS
Event:R:56,Event:B:64,TRIGGERS
Agent:Red,Event:R:65,PERFORMS
Event:R:65,ATTACK:T1210,USES_TECHNIQUE
Event:R:65,Host:10.0.235.10,TARGETS
Agent:Blue,Event:B:65,PERFORMS
Event:B:65,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:66,PERFORMS
Event:R:66,ATTACK:T1068,USES_TECHNIQUE
Event:R:66,Enterprise:Enterprise1,TARGETS
Agent:Blue,Event:B:66,PERFORMS
Event:B:66,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:67,PERFORMS
Event:R:67,ATTACK:T1018,USES_TECHNIQUE
Event:R:67,Subnet:10.0.235.0/28,TARGETS
Agent:Blue,Event:B:67,PERFORMS
Event:B:67,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:68,PERFORMS
Event:R:68,ATTACK:T1046,USES_TECHNIQUE
Event:R:68,Host:10.0.235.3,TARGETS
Agent:Blue,Event:B:68,PERFORMS
Event:B:68,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:69,PERFORMS
Event:R:69,ATTACK:T1046,USES_TECHNIQUE
Event:R:69,Host:10.0.235.7,TARGETS
Agent:Blue,Event:B:69,PERFORMS
Event:B:69,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:70,PERFORMS
Event:R:70,ATTACK:T1046,USES_TECHNIQUE
Event:R:70,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:70,PERFORMS
Event:B:70,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:71,PERFORMS
Event:R:71,ATTACK:T1210,USES_TECHNIQUE
Event:R:71,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:71,PERFORMS
Event:B:71,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:72,PERFORMS
Event:R:72,ATTACK:T1068,USES_TECHNIQUE
Event:R:72,User:User3,TARGETS
Agent:Blue,Event:B:72,PERFORMS
Event:B:72,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:72,User:User3,TARGETS
Event:R:62,Event:B:72,TRIGGERS
Agent:Red,Event:R:73,PERFORMS
Event:R:73,ATTACK:T1210,USES_TECHNIQUE
Event:R:73,Host:10.0.235.3,TARGETS
Agent:Blue,Event:B:73,PERFORMS
Event:B:73,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:74,PERFORMS
Event:R:74,ATTACK:T1068,USES_TECHNIQUE
Event:R:74,Enterprise:Enterprise0,TARGETS
Agent:Blue,Event:B:74,PERFORMS
Event:B:74,ATTACK:DFEND_Restore,USES_TECHNIQUE
Event:B:74,Enterprise:Enterprise0,TARGETS
Agent:Red,Event:R:75,PERFORMS
Event:R:75,ATTACK:T1210,USES_TECHNIQUE
Event:R:75,Host:10.0.235.3,TARGETS
Agent:Blue,Event:B:75,PERFORMS
Event:B:75,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:76,PERFORMS
Event:R:76,ATTACK:T1068,USES_TECHNIQUE
Event:R:76,Enterprise:Enterprise0,TARGETS
